time,backoff_time
652584,205
38123449,70
49488950,79
55732244,322
57529933,205
58337608,115
64975047,142
71156787,169
92415245,70
110620525,106
116026535,178
138796028,88
139607256,277
150250547,205
155258035,286
170811560,178
192257355,322
204992030,88
224221897,133
257382583,295
276605590,151
291539022,115
292118580,205
295314617,133
307083306,205
307496576,295
320738451,88
322858463,196
332231251,295
361236346,295
378297775,142
383550118,250
435030326,52
437522773,169
443841000,241
455434464,142
486304988,124
497427940,97
500421539,61
515437118,268
528371560,241
537786608,43
568252049,187
569404606,178
569820742,79
587765371,124
588385424,178
600382102,241
602996618,169
628007003,88
635607995,97
658261291,268
666357617,205
667413456,70
672104572,160
674230088,106
678357319,205
680748974,43
697900814,259
709128297,133
733600388,223
749467119,250
757270487,169
791679449,214
797201548,79
838593933,97
858059954,97
870028087,61
870614562,115
931935709,151
961694526,241
969458360,322
997245411,169
1021459918,160
1049868484,286
1050401687,61
1106580603,142
1112566342,232
1117771072,160
1121047348,178
1128121110,151
1140983091,133
1143611394,241
1167465481,142
1184306400,277
1190677074,295
1199222732,277
1207436995,106
1213070617,205
1216441334,214
1226457980,205
1232709426,160
1236721582,268
1262074811,241
1274496741,187
1287827018,295
1324744818,178
1324949113,52
1350502618,70
1359170840,70
1382747542,115
1383670995,115
1395051038,250
1403780366,295
1417684911,223
1426845533,196
1430598797,160
1434854572,295
1451740088,232
1457521117,70
1491480113,250
1503183950,70
1515396859,52
1533663620,43
1543923858,205
1550848577,133
1564778617,160
1570611620,223
1590819420,142
1610666617,169
1615651909,223
1639002000,223
1644869562,70
1653627095,79
1665153120,187
1726821388,52
1740134039,79
1755462891,61
1766409115,142
1767940480,88
1772704568,205
1782103595,205
1788355426,97
1801681286,43
1804010044,88
1826997333,43
1834030500,160
1880436085,232
1881990292,106
1900334599,250
1907838828,43
1916110300,187
1916416444,250
1928445513,79
1930391094,250
1931971119,223
1942047566,142
1947469710,160
1968375611,223
1976307087,106
1977090340,151
1996873599,61
2016012095,250
2031089996,268
2075166116,196
2091141562,178
2096236432,304
2109034607,187
2111977028,259
2112141616,178
2115285451,259
2127152947,250
2148108120,115
2156208387,178
2162192081,88
2166989487,70
2184783798,178
2187299091,196
2224554120,43
2236899900,142
2252837220,223
2273642880,268
2291022821,286
2298886565,304
2318691247,241
2320562823,214
2330419035,97
2335823302,178
2337817947,52
2347410767,250
2352780494,88
2360781099,106
2361297466,313
2371075504,250
2373878394,142
2376910491,205
2396831442,277
2403493853,286
2428674023,205
2437311232,61
2477720116,169
2502779529,214
2503199973,241
2504019576,142
2505307989,52
2507755605,277
2515398620,61
2516698000,133
2529116112,223
2562803183,277
2614447502,313
2620207098,214
2621926401,133
2634166912,259
2639420677,232
2645311388,250
2650733956,115
2652586170,169
2667202107,142
2675513569,97
2677250264,232
2679264068,187
2704670139,151
2742569475,187
2750913118,52
2757972026,232
2781884102,214
2799815114,259
2802600370,52
2804388815,52
2822020964,187
2823635522,277
2841248549,187
2850650925,187
2852057060,88
2859764945,151
2872033478,214
2875329961,268
2900379509,187
2903204620,151
2931606550,115
2973787567,295
2985844399,115
3014817354,250
3021716496,178
3035685213,250
3039427535,187
3044365049,79
3051756040,259
3055115590,223
3081727872,43
3089672379,97
3096428786,178
3100333066,43
3100674096,268
3102238400,196
3105367114,115
3110647616,205
3126250565,223
3135263400,214
3151889569,97
3158311477,259
3160629348,277
3167254379,52
3174177091,214
3181213099,241
3184459114,88
3214627068,52
3228721500,232
3257882925,286
3298402080,133
3312725396,295
3320889616,106
3342360531,133
3364511094,286
3369029040,241
3374628558,115
3391358062,259
3414242012,250
3430749459,43
3438195284,223
3454088337,70
3455269721,88
3455309552,133
3475310362,169
3488846983,286
3495174591,106
3505401788,43
3538708918,151
3555180052,151
3555192095,277
3559696028,61
3564976047,133
3565914024,286
3592674771,133
3602662462,250
3631224236,43
3635244116,61
3637575833,187
3638043077,151
3638578076,52
3651552448,142
3669693357,277
3693916781,187
3723669089,115
3724041618,88
3725847605,205
3730535521,70
3730991088,214
3742656902,187
3746974498,169
3762963601,52
3764864436,214
3812472881,160
3822158772,61
3835728908,250
3882446735,259
3916461460,223
3917577983,151
3928479555,97
3948706611,223
3991840362,133
4002532454,259
4014240587,187
4027085520,223
4090136593,259
4090278099,196
4090776304,322
4103039922,277
4107206571,169
4112240283,250
4113091929,196
4128987705,151
4130925901,142
4132044717,43
4169864041,124
4211656555,250
4230007874,205
4232302027,277
4232893246,295
4237311968,223
4251947492,151
4257500483,322
4269426327,295
4272988597,196
4277009607,223
4287593207,151
4294176700,169
4295499976,268
4302722089,268
4305832119,142
4322636276,241
4326543587,124
4328122247,178
4333379560,277
4354474930,268
4358357889,61
4359713957,142
4370828776,304
4375932911,313
4409515887,61
4409688083,79
4413572334,313
4449550203,79
4466674449,259
4485688607,196
4514608839,169
4552951099,277
4560520097,286
4587581104,268
4611185089,241
4638810317,115
4645141982,196
4651844540,295
4652623591,115
4661282526,61
4666027291,232
4667027557,304
4676817597,313
4737707068,259
4767477991,169
4790897513,241
4792101561,70
4795345824,250
4803481407,196
4805897248,304
4813027831,52
4814916288,304
4823992431,304
4830468334,178
4847913778,223
4849959543,124
4851943983,205
4852822337,88
4858402312,196
4860314731,61
4870048547,106
4870568270,178
4885574098,241
4887030114,232
4901569426,97
4910363586,259
4911552098,304
4919671948,295
4929742065,196
4932197438,322
4952490858,178
4953842620,52
4964886343,106
4968670112,106
4973460462,61
5003004474,151
5022442552,322
5026035617,115
5040022119,97
5042660962,142
5057749107,169
5115191101,79
5118452097,115
5122988333,259
5133900000,241
5156459102,286
5162892544,97
5169336607,151
5169382526,124
5176758588,196
5194061099,268
5215439601,43
5239474459,277
5243249443,268
5245962310,196
5268520971,106
5269764046,61
5301121569,313
5313263879,61
5327069446,124
5331619059,124
5370557120,151
5403596779,133
5425356342,61
5427243555,286
5440624824,277
5473043545,322
5497291108,151
5506403365,43
5507984537,214
5509946474,232
5515467370,187
5522147023,205
5538311840,106
5553897500,268
5556576501,61
5566388326,205
5572971977,196
5574246109,205
5581053006,160
5608877555,214
5645666346,187
5653842336,196
5657840023,214
5696556359,52
5708983459,277
5711437216,286
5720105612,133
5721415585,79
5722813096,214
5736592593,196
5746303099,61
5747067502,187
5761444991,88
5765094756,88
5774740889,70
5775564053,268
5802022547,295
5812687380,151
5816678576,43
5819150104,88
5838910577,268
5840457072,205
5850605933,313
5872482402,61
5880170982,286
5884960431,160
5885231605,151
5893427619,169
5925887340,268
5954556036,160
5974917616,205
5978860616,43
5993938588,70
6026668738,52
6031144745,178
6057818539,223
6060662546,196
6080881924,52
6085366609,70
6085786953,286
6098886849,295
6113271860,133
6130521987,295
6131852358,79
6134777034,169
6143586108,232
6155755304,79
6228905735,151
6242191930,214
6243887284,169
6289050536,259
6296031385,52
6304719072,187
6315286591,133
6334187361,232
6344984511,160
6346953579,106
6391953048,268
6409407966,43
6410052074,97
6425952948,295
6428045855,160
6434691293,61
6437345876,232
6437845751,259
6442194544,133
6447524462,187
6452616596,79
6463998615,61
6504702748,277
6507239617,61
6533437032,196
6544466607,241
6556319603,88
6577885994,160
6592780459,268
6601584447,286
6612809973,79
6617500315,196
6618154374,268
6629952191,124
