time,gap_time
751607,27
4651579,52
4903090,99
5897591,36
7994008,331
14570819,81
16511554,79
18423000,9
27823070,70
28538562,178
38365604,0
38457503,250
39139105,0
39436873,61
41428809,9
41714561,9
44283080,178
49031078,0
51500294,99
52963619,18
56618004,151
58430745,63
62950101,27
63438818,108
68223281,63
68694614,18
77417023,61
78823390,106
80451380,198
90513482,79
91288434,106
92324465,331
96842102,18
97306342,196
98625095,45
100251361,90
101032831,0
106225569,9
106313097,9
117163934,250
123266447,169
129179089,43
129777614,90
132134611,0
133047094,97
135524087,0
136372619,115
136790595,9
141899590,36
143415525,216
145695991,223
145963905,241
146801928,43
146813620,133
154941898,160
155065103,97
156219096,142
157094946,43
159303095,79
159373831,18
160314434,268
161837594,250
163248120,142
165588391,268
168902716,18
174170388,18
174338526,106
177655535,81
177881692,18
177980437,124
178906001,81
179242976,9
183985845,54
189313109,205
189883081,223
192961483,187
194301784,52
199174949,97
199577300,70
201655929,304
201940548,124
203703620,27
204407438,286
205056819,54
210372312,61
210946799,45
212685069,106
219448567,81
219478104,52
220153608,187
220800339,178
224361889,151
226237525,322
227141019,18
228158273,36
229236296,135
232092716,0
232469318,124
240908918,124
241183940,81
241497056,90
242372786,126
245629441,133
246701556,45
248913088,36
249910473,196
252839452,268
253817030,214
256642018,295
258449070,0
266723294,88
266816612,133
269383691,0
271121117,9
271589602,18
273959040,9
274675868,126
280872531,54
281012028,196
290339620,52
290723942,223
291919411,151
292793775,88
297378064,63
302088390,81
302704483,72
313171686,18
313577912,70
317099532,187
317309117,124
320533278,126
322725059,169
322799963,79
325017001,223
326060296,153
328321075,52
334563075,27
336255550,322
340733427,115
344366731,52
347222414,61
347315663,18
353154395,142
358565112,54
364013343,124
364048388,52
364693939,106
365218859,162
365619276,88
375975112,27
376929533,0
377463203,52
381536607,0
383031049,9
383510919,18
387236400,214
401585006,97
409657117,0
410306991,124
415957437,52
420403057,27
426912294,151
428814078,27
429657098,277
432571600,43
436610368,43
437002263,88
437842602,115
438901802,61
443515928,160
454391001,234
455068413,97
457231525,0
457422465,133
457578053,232
459406315,115
460569258,0
464527931,70
468545539,9
470211593,115
477438582,286
479288090,45
479468396,0
482874517,205
485417032,241
485615085,27
487168900,214
487758468,9
490446034,331
490916519,88
492807366,205
493947108,205
499464500,214
504980859,36
508701886,61
510140907,178
511642609,52
511666119,153
513313497,133
517694376,250
517956037,250
521819109,36
524371115,9
529000563,70
532063605,90
539631312,90
541889819,72
548600347,106
548978293,43
550568585,223
550920459,0
551369557,9
552686115,0
555505816,70
558484034,106
558966543,160
559375251,18
563564115,0
563750519,241
564744056,115
568261580,88
568442552,142
572964090,9
574238112,9
577232053,304
587377983,115
587407423,90
588048736,9
588641714,88
590311595,18
594585530,133
595500492,79
595911587,70
597948592,151
601614993,52
602360620,124
604127580,313
606203589,225
607421115,115
608269784,88
609587023,115
617668565,286
617785022,43
623853563,0
625136001,142
626440454,88
631099577,63
636543617,9
639515225,97
643060620,9
646194047,322
647541961,88
648277587,52
650420615,115
652014454,99
652043798,61
658354987,250
658540444,88
658558334,115
664193383,63
664280928,43
668755101,0
673657120,9
675815254,81
677014978,63
680167111,18
680967506,97
685785890,0
685920583,0
686315209,79
699151571,52
709577036,18
709956484,43
725716046,88
726383904,205
730387062,124
730514784,36
737853616,232
742474528,90
742538504,45
747515758,88
754024745,43
757382524,18
758733588,277
763289604,88
766717189,61
767020814,52
768830619,36
769758467,90
770333091,36
772353093,70
774058922,295
774786530,18
778512563,9
780855061,61
782135376,72
782461601,259
784921392,241
790805595,277
792033620,18
792421806,54
797620069,18
797811031,223
799366560,61
800757927,72
805832993,286
823376446,250
824337117,0
833319111,54
834140081,232
834628018,153
839454606,153
839478190,36
841346571,36
842990237,61
843505484,223
847878587,331
849746596,9
850774763,61
854456544,232
854806989,295
869972811,63
872319558,178
876009688,52
881516943,286
886324970,268
886994023,178
888026051,205
888801107,9
889517620,322
893874953,169
904289824,61
904313699,18
910872022,81
914333081,162
915568017,79
916135003,36
922225020,126
941922114,142
942172520,117
942602087,313
943820541,126
945927090,241
947339885,133
948520620,241
956765301,52
962088438,187
963613037,133
965513612,97
969894591,250
970315016,27
978147260,70
983772867,79
984363113,205
984461724,45
988455969,322
990315792,9
994216287,18
997153049,178
998447956,97
999057807,52
1001000530,97
1001531104,0
1005789557,124
1008461278,81
1010903272,63
1014142533,151
1014295419,259
1014701108,54
1015219390,70
1015498907,205
1016157997,178
1017212097,63
1017299618,27
1021998250,43
1025926006,331
1033097061,160
1035111455,90
1035223423,27
1046414607,61
1048377038,169
1050154116,9
1051811109,259
1051904498,97
1066518050,0
1068101613,0
1072287077,286
1073391481,27
