time,backoff_time
6487120,304
24747120,43
30173120,160
37687120,151
44424120,106
49925120,106
50347620,52
53592620,277
56434620,304
65551120,97
67393620,169
68239620,295
80179620,259
91773620,43
93064120,178
99564120,115
100251620,115
103457120,133
104355620,43
113080120,178
123303620,43
131226620,259
140273620,178
141229620,268
143821120,250
157804620,313
161255620,223
169962120,322
172315120,124
172927620,322
174503620,70
184529620,196
184592120,61
187260120,61
187460620,178
191365620,295
197812120,79
199712620,151
209454120,70
209733620,70
213033620,79
213131120,133
220655620,295
221345120,124
231676120,160
234128620,70
255991120,43
258148620,295
259065120,250
265126120,151
266232620,43
274361620,151
276002620,79
278127620,277
278884620,223
280420120,133
295198120,304
295570120,151
297257620,178
306857620,187
308736120,214
320621120,88
329101620,187
330648620,178
332919620,142
350273620,223
354547620,223
356223620,151
357576620,214
359678120,295
363922620,61
370451120,124
380057620,205
381070620,232
381523620,43
381690120,214
391803620,286
393498620,142
393898120,304
394850120,295
397735120,61
410003120,313
411284120,43
411449620,61
417320620,322
445604620,313
448177620,214
449263620,322
451134620,115
472189620,250
475813620,205
488588120,61
494148120,304
496268120,142
496765120,115
503655620,214
504292120,70
509295620,259
519131120,124
519806620,277
520964620,322
525409620,223
536947120,43
538494120,268
544320620,241
548048620,268
555007620,286
569198620,124
571709620,277
573288620,178
594740120,124
595891120,313
598566120,115
615224620,43
619361620,304
619631120,52
631376620,52
638391620,106
641706620,277
644047620,178
644443120,70
646442120,259
649210120,196
649244120,187
657211120,268
669198620,304
678381120,142
678524120,169
705230620,196
706597620,259
708296620,196
711854120,322
711916620,187
712298620,205
713416620,295
725707120,214
733161620,115
737989620,43
738126620,70
743376120,169
751361620,124
756558120,250
758018120,232
758718620,223
759275620,124
759624120,250
764768620,169
768397120,61
783246120,250
784414620,151
787166620,196
792371120,88
795750620,70
804193120,61
806398620,79
809475620,151
814516120,322
814870620,259
826030620,43
826174120,286
839962620,169
872805620,178
876926620,187
877120620,70
878304620,232
882340620,79
894500120,43
896667120,124
911807120,223
913473120,61
914716120,187
919224620,43
928183120,322
929450620,169
931218120,286
932639120,250
933000120,43
940063620,169
964288620,151
964879620,178
968096620,160
969195620,133
971853620,196
972254620,187
972941620,268
973244120,214
976410620,196
991035120,79
992340120,133
993674120,106
996501620,88
1001115620,52
1009176620,124
1012951620,241
1017971120,79
1021218120,187
1025873120,70
1025930620,61
1031532620,169
1033193620,169
1052729620,259
1057062120,223
1061052620,70
1063595120,88
1064758120,133
1071120120,151
1078310620,88
1098523120,277
1101270620,133
1106902120,178
1110459620,196
1112561620,268
1116442120,223
1122749120,133
1122944120,241
1129562120,151
1132887120,79
1136105120,142
1138542120,106
1143756620,88
1148100620,124
1152707120,169
1153362120,187
1155442120,61
1155939620,124
1157381620,142
1157691120,124
1158592120,79
1162597620,313
1163813120,124
1167880620,214
1173409620,97
1180820120,313
1183594620,142
1195469620,106
1199852120,268
1204473120,295
1205584620,205
1214643120,241
1215455620,313
1217267620,241
1220270620,43
1220839120,286
1222983620,124
1226892120,79
1226926120,97
1227148620,178
1232659620,88
1233118620,61
1234074120,268
1236470120,124
1243226620,304
1243351620,124
1252215120,70
1254171120,70
1258893620,52
1259218620,124
1262181120,223
1264277620,187
1270645620,133
1271195620,250
1278746620,151
1284045120,268
1286251120,205
1286952620,295
1289556120,205
1291694120,223
1291916620,304
1293379620,313
1294163120,304
1300995120,196
1302757620,142
1324585620,115
1326309620,124
1328969120,286
1348951120,160
1353908120,169
1359496120,268
1360829120,286
1363486120,151
1365760620,106
1372293620,250
1373181120,304
1377404620,232
1378534120,187
1381391120,43
1390029120,169
1390642620,115
1394136620,115
1406583620,250
1409547120,79
1411667120,88
1414218620,187
1416451120,178
1417380620,250
1418746120,160
1431254120,61
1431937620,205
1433847620,124
1448851120,205
1449171120,313
1452596620,70
1453078620,133
1453525120,196
1457516620,232
1461350620,304
1461585120,43
1480551620,250
1483747620,196
1485906620,268
1489972120,43
1490883120,70
1495962620,304
1497580620,304
1499807620,196
1505602120,250
1506937120,169
1512852620,61
1514532620,205
1520457620,79
1527907120,52
1539202120,151
1541504120,196
1543604120,250
1552003620,52
1553921620,88
1555838120,160
1563198120,322
1564500620,97
1566120620,178
1572202620,277
1581185120,295
1583227620,142
1591015120,205
1592968120,70
1594405120,70
1605897120,295
1613688620,160
1636372120,61
1636613120,160
1638259120,79
1640364620,241
1645844120,178
1648316120,115
1648625620,79
1650907120,187
1655761120,142
1657513120,61
1657896120,223
1659347120,160
1660126120,223
1681152620,250
1688690120,142
1696101620,97
1696198120,61
1699561620,241
1702991120,241
1703455620,232
1708463120,268
1712700620,169
1724584620,106
1726694120,322
1728947620,277
1733428120,61
1739951620,304
1745466120,124
1748650120,187
1753114120,313
1757450620,142
1763203120,43
1768642620,295
1772880120,295
1776313120,259
1779604620,304
1782954620,259
1793472620,169
1811091620,169
1814550120,151
1817885620,304
1822031120,97
1832203620,223
1853175620,61
1855471620,106
1863321120,214
1867192120,232
1869334120,205
1879421620,241
1890599620,88
1892138120,70
1893385620,286
1898183620,268
1907658120,250
1911894620,223
1915962620,61
1948171120,160
1954938620,214
1960291120,187
1962563620,223
1974952120,88
1982858120,322
1984241120,286
1986298620,79
1988567620,232
1997530620,277
1999926120,277
2019955120,187
2023753620,322
2034879620,88
2043247120,115
2044673620,205
2046179620,277
2052095120,115
2056430620,151
2057113120,169
2057381620,124
2064805620,133
2067329120,295
2068200620,322
2073576120,97
2073714120,106
2079701120,97
2084915620,43
2087000620,187
2087415120,178
2088992620,205
2091603620,178
2094107120,115
2095382620,70
2095931620,106
2110706120,115
2115122620,187
2116480120,88
2116594620,61
2129533620,313
2132599620,178
2135258620,124
2142830120,241
2147287120,223
2157171120,223
2158435120,214
2162647620,313
2172400120,61
2178466620,178
2179643120,286
