time,backoff_time
4117620,133
4627579,223
4879090,43
5867591,52
7929508,196
14481819,133
16422554,115
18269500,160
23247568,187
23289008,160
24032110,187
27565570,142
28281062,286
35472107,268
37472296,241
39979608,97
40990809,286
41270561,115
48608578,250
52490619,187
56112504,88
57648306,151
62384101,106
63556927,241
65700991,241
66242918,151
67630781,115
68102114,196
72398594,250
72474099,43
73056393,79
73230614,106
76663523,295
78069890,115
89496070,61
95960602,43
96424842,79
97725595,70
100096331,214
105449311,43
105992444,169
106343520,214
116141934,304
122402335,232
127957085,187
128662114,106
129510845,88
131028611,70
131924094,169
135645095,70
142147025,61
142787728,151
144474491,277
144736405,43
153618898,286
153742103,151
154890096,277
155759946,88
158279800,286
158949434,169
160466594,259
161871120,205
164170891,187
164836113,124
165168938,286
167557080,232
172952396,187
174067047,295
174720937,214
176379437,205
177299001,61
177635976,79
182455345,178
186101929,79
187817609,169
188387581,313
191480483,196
193945915,205
195822371,286
196441333,88
196825990,151
197585449,142
197987800,160
200109201,259
200433996,205
207295448,205
208520879,196
209132799,205
210871069,232
217635567,97
217665104,232
220751112,79
222496889,250
225503448,151
226297273,142
227375296,61
230216216,115
230592818,115
232160099,232
238980918,79
239255940,88
239569056,205
240444786,106
244007342,43
244370043,151
246902088,115
249518924,277
250807452,115
251785030,151
252976370,232
254605018,124
256412070,97
260047115,187
269542102,88
271911540,106
289346620,142
290604275,79
296328073,214
300519483,79
310947686,178
311353912,295
313847965,88
314829032,106
315038617,196
316879373,151
318234778,124
319638221,97
322726501,277
323763796,124
325988575,286
332240575,88
333927550,268
338434427,142
342061731,88
344911414,259
345004663,124
350781895,241
356186612,43
358791420,151
377436517,70
378915107,52
380385549,187
384594400,124
385431797,223
391815518,115
411896914,214
413254937,196
413801912,187
414500611,250
414512618,178
422783112,205
424675481,169
426059078,70
426893598,250
429784600,286
433808368,241
434199263,277
435039602,187
436092802,205
438527575,304
440615428,187
443989772,151
444031099,214
450165574,268
454352025,250
454542965,97
454698553,88
457685258,178
461441249,115
465536039,313
466333800,178
466765452,205
471436370,70
471557118,124
476147590,106
479717517,250
482259532,205
482457585,295
484005400,97
487046419,214
487663019,133
490706108,277
491978024,124
496222076,115
500486035,79
501669359,205
505358886,250
506796407,250
509918497,133
518394109,43
520935101,115
524572580,259
524822614,70
524840036,151
525512063,277
528581105,61
538260353,178
545050347,97
545428293,70
546978085,160
551934037,88
554814034,241
555296543,43
555705251,115
559894115,52
560080519,70
561271800,178
564552580,250
564733552,196
567708803,187
568244394,277
568651968,52
570465112,115
573465553,304
575937927,151
576553340,295
582958261,187
583195995,151
583527483,124
583556923,241
584198236,178
584791214,304
586449095,43
591635492,124
594077092,313
597739493,259
598485120,61
600259080,277
601758588,160
602272589,70
603466615,178
604315284,277
605632523,250
610061201,241
610509102,70
610729619,178
619728563,187
621005001,142
621521523,241
624203342,88
626878577,169
627552084,88
628245847,205
628662117,196
632259117,115
634618379,160
634805114,178
638871620,97
641996047,43
643321461,52
647771454,115
647800798,250
650015776,97
650190109,97
659853383,205
659940928,304
664377601,151
666577502,106
666733607,79
671370754,61
672564478,97
673563035,205
675322970,232
675654611,43
676455006,169
677422114,52
681256390,313
681391083,160
681785709,187
687269982,295
693622562,88
694520571,151
704904536,97
705283984,160
708949344,61
717565044,268
720247118,124
720834546,277
725558284,142
729153073,133
729170998,97
732841616,178
737438528,70
737502504,70
746534082,142
748930745,322
749997030,277
752225524,43
753411884,61
754891563,223
758162604,169
