time,gap_time
4117620,79
4627579,52
4879090,99
5867591,36
7929508,331
14481819,81
16422554,79
18269500,9
23247568,133
23289008,63
24032110,0
27565570,70
28281062,178
35472107,0
37472296,142
39979608,70
40990809,9
41270561,9
48608578,0
52490619,18
56112504,151
57648306,151
62384101,27
63556927,178
65700991,133
66242918,286
67630781,63
68102114,18
72398594,124
72474099,27
73056393,207
73230614,0
76663523,61
78069890,106
89496070,216
95960602,18
96424842,196
97725595,45
100096331,0
105449311,171
105992444,63
106343520,196
116141934,250
122402335,214
127957085,61
128662114,90
129510845,133
131028611,0
131924094,97
135645095,9
142147025,216
142787728,108
144474491,223
144736405,241
153618898,160
153742103,97
154890096,142
155759946,43
158279800,61
158949434,268
160466594,250
161871120,142
164170891,268
164836113,18
165168938,36
167557080,43
172952396,126
174067047,304
174720937,108
176379437,124
177299001,81
177635976,9
182455345,54
186101929,243
187817609,205
188387581,223
191480483,187
193945915,79
195822371,61
196441333,125
196825990,18
197585449,97
197987800,70
200109201,43
200433996,304
207295448,133
208520879,43
209132799,45
210871069,106
217635567,81
217665104,52
220751112,196
222496889,151
225503448,135
226297273,36
227375296,135
230216216,0
230592818,124
232160099,61
238980918,124
239255940,81
239569056,90
240444786,126
244007342,180
244370043,79
246902088,36
249518924,79
250807452,268
251785030,214
252976370,70
254605018,295
256412070,0
260047115,79
269542102,18
271911540,9
289346620,9
290604275,88
296328073,331
300519483,72
310947686,18
311353912,70
313847965,250
314829032,187
315038617,124
316879373,160
318234778,126
319638221,90
322726501,223
323763796,153
325988575,52
332240575,27
333927550,322
338434427,115
342061731,52
344911414,61
345004663,18
350781895,142
356186612,54
358791420,61
377436517,70
378915107,0
380385549,9
384594400,214
385431797,63
391815518,117
411896914,79
413254937,52
413801912,126
414500611,124
414512618,232
422783112,9
424675481,79
426059078,27
426893598,277
429784600,43
433808368,43
434199263,88
435039602,115
436092802,61
438527575,52
440615428,160
443989772,27
444031099,304
450165574,178
454352025,0
454542965,133
454698553,232
457685258,0
461441249,97
465536039,9
466333800,18
466765452,160
471436370,0
471557118,18
476147590,45
479717517,205
482259532,241
482457585,27
484005400,214
487046419,52
487663019,88
490706108,205
491978024,124
496222076,0
500486035,72
501669359,36
505358886,61
506796407,178
509918497,133
518394109,36
520935101,0
524572580,286
524822614,0
524840036,196
525512063,70
528581105,90
538260353,55
545050347,106
545428293,43
546978085,223
551934037,313
554814034,106
555296543,160
555705251,18
559894115,0
560080519,241
561271800,160
564552580,88
564733552,142
567708803,70
568244394,97
568651968,135
570465112,9
573465553,304
575937927,0
576553340,70
582958261,0
583195995,241
583527483,115
583556923,90
584198236,9
584791214,88
586449095,18
591635492,79
594077092,151
597739493,52
598485120,124
600259080,313
601758588,63
602272589,225
603466615,115
604315284,88
605632523,115
610061201,61
610509102,9
610729619,232
619728563,0
621005001,142
621521523,151
624203342,196
626878577,63
627552084,9
628245847,81
628662117,214
632259117,9
634618379,97
634805114,0
638871620,9
641996047,322
643321461,88
647771454,99
647800798,61
650015776,106
650190109,54
659853383,63
659940928,43
664377601,0
666577502,18
666733607,0
671370754,81
672564478,63
673563035,18
675322970,97
675654611,18
676455006,97
677422114,9
681256390,0
681391083,0
681785709,79
687269982,169
693622562,313
694520571,52
704904536,18
705283984,43
708949344,223
717565044,331
720247118,0
720834546,88
725558284,36
729153073,45
729170998,27
732841616,232
737438528,90
737502504,45
746534082,72
748930745,43
749997030,142
752225524,18
753411884,178
754891563,9
758162604,88
761542689,61
761846314,52
764583467,90
765146091,36
767160593,70
768860422,295
769588030,18
773296063,9
775626561,61
776900876,72
777227101,259
783488527,43
785511095,277
786733120,18
787121306,54
788474231,72
788765010,0
790274115,0
792222569,18
792413531,223
793957060,61
795342427,72
800462101,18
817911946,250
827798611,54
832041762,61
832994501,54
834566805,162
835707355,124
837790484,223
842190587,331
844064596,9
848752544,232
849096989,295
864281811,63
879237501,90
880491470,268
881154523,178
882186551,205
882961607,9
887886953,169
890605076,241
894741850,169
898261324,61
898285199,18
908152081,162
909380517,79
909947503,36
910792570,250
915452105,52
920095000,196
920264280,142
920624231,97
935198598,0
935593114,142
935843520,117
939416590,241
940823385,133
941980120,241
950144801,52
951441608,43
955976489,169
959106561,187
963125091,250
963545516,27
971443004,241
976992867,79
981613969,322
983124105,18
987372287,18
988255095,313
988780044,304
990283049,178
991571956,97
994598104,0
998844557,124
1001495278,81
1003937772,63
1007170033,151
1007322919,259
1007728608,54
1008246890,70
1008526407,205
1009185497,178
1009994902,187
1014992250,43
1026140061,160
1028148455,90
1028260423,27
1031222318,117
1036952618,0
1039382107,61
1041344538,169
1043121616,9
1044766609,259
1044859998,97
1053571563,88
1058886289,18
1059474550,0
1061039113,0
1066233481,27
1068701931,79
1070975018,97
1072627060,106
1079726789,88
1082893290,36
1088684120,115
1088864278,70
1094786542,9
1099166535,63
1099260541,63
1099313552,36
1099587050,45
1112796966,268
1115306497,331
1115766363,36
1117268611,205
1124572008,106
1131644106,0
1132653027,223
1135037054,52
1135562119,18
1142462613,0
1146145086,97
1146929117,27
1148927047,72
1149662270,115
1158045494,18
1163419109,9
1165502036,117
1166176088,18
1173760409,286
1173947044,133
1174895888,54
1175338773,90
1177031333,9
1179564228,18
1186020064,232
1186247381,187
1187415098,0
1194990187,63
1204145530,54
1206695000,124
1210224360,52
1210462986,0
