time,backoff_time
1390784255,187
1392415354,160
1393058280,259
1398125761,70
1399206848,241
1404996898,133
1405054603,286
1405634978,70
1405868035,52
1408710091,115
1410446516,286
1410504600,187
1415597088,268
1416702080,196
1418211487,277
1418677421,151
1418944005,304
1425843620,295
1432250203,124
1434943998,268
1435223964,151
1437236336,151
1438327938,277
1439246568,106
1439774772,43
1440438112,106
1440600562,124
1443713900,43
1448841114,79
1449777485,52
1451970289,61
1455583112,115
1456918059,106
1459722332,97
1460561443,313
1461380458,286
1463494106,70
1468037118,52
1469313392,178
1469597493,295
1474115989,178
1475446475,43
1476616293,88
1477253533,115
1479920785,250
1482808762,79
1489399727,88
1491973089,43
1492559827,295
1498613502,142
1499755120,178
1507930199,79
1508295459,151
1509091068,70
1509904428,169
1511336118,43
1514287096,241
1517734212,151
1519447114,187
1525158614,97
1527169560,160
1527226920,178
1528050362,70
1528126457,61
1531806931,52
1531870875,196
1537514838,277
1538391468,133
1542888884,286
1543192111,160
1543666541,70
1546610256,241
1546984081,187
1548683019,214
1552188618,151
1553374470,259
1556704075,178
1559153450,304
1559777418,304
1562408614,52
1563104502,223
1563645263,178
1568710574,142
1568987292,322
1570580548,61
1571463050,142
1573148316,97
1581122792,241
1584604380,277
1588681114,322
1590888978,295
1592265052,313
1595364120,286
1597116527,250
1599996180,124
1600677347,160
1604631350,313
1606229793,205
1608647117,124
1612549114,52
1619939537,205
1621597735,196
1623884807,196
1629058445,61
1629526276,133
1630695023,313
1636093852,304
1647554999,106
1647718923,160
1653388899,178
1656045395,43
1656759639,88
1658168612,313
1658636089,43
1659464974,322
1660984377,241
1662802615,88
1663006069,313
1667942545,124
1669051119,88
1674098577,97
1679534804,43
1681384822,232
1681523887,115
1683819120,79
1684393115,151
1685060558,115
1686746847,124
1688579270,151
1692010601,169
1692203888,268
1694461074,97
1703962594,70
1704038586,61
1707066538,79
1710670104,88
1714569521,79
1718598979,196
1719518945,61
1722082817,133
1722664514,304
1728966453,97
1729176016,286
1733447297,52
1736496118,205
1742845870,70
1743916094,106
1744971819,286
1748462918,241
1752624062,169
1755642111,124
1756505776,250
1758094620,322
1759307681,286
1770655046,61
1771094877,259
1772653432,286
1772869034,232
1773198974,79
1775146788,151
1780693050,187
1781954757,268
1785477611,106
1786245959,241
1787581893,79
1787872542,115
1788757361,304
1792113232,52
1793082983,241
1793956568,79
1797147081,52
1804058812,106
1805873120,61
1806559587,151
1808278107,124
1808335991,52
1808487292,205
1810142008,241
1811629025,241
1815977783,322
1816349294,178
1818485399,241
1823625577,196
1824014867,133
1824178831,250
1824644119,88
1829124966,232
1829555870,214
1829778115,97
1830040002,79
1830807760,196
