time,backoff_time
38220620,277
52202620,61
82876120,133
85068120,295
106672120,214
111975120,115
122994120,250
170908620,160
183621620,304
211619120,79
217099620,268
248184620,196
249744120,61
283563120,115
324065120,286
325652120,43
331861120,322
340979120,88
368935120,286
372505120,187
374556120,304
397631120,79
422240620,205
425689620,205
444742120,79
455007120,187
467594120,304
468235620,97
475835620,124
491961120,169
546138120,304
563722620,142
564623120,187
591303620,286
605599620,124
607266620,97
613075120,43
615413120,133
618111620,313
626860120,295
674494620,160
682201620,214
706597120,79
762862620,232
787482120,205
793536620,250
796936120,133
826806620,223
838812620,259
839880620,277
843746120,52
855949120,79
876520620,43
880829620,313
882487120,241
896606120,295
923058620,313
924495120,106
937507620,295
952933120,124
967152120,43
977151120,214
979344120,70
981989120,178
986521620,61
986877120,268
1011289120,196
1015715120,277
1023543120,142
1025415120,115
1025680620,106
1048017620,106
1084817620,250
1102413120,250
1105446120,259
1111628620,88
1112903620,61
1113962120,169
1120513120,160
1127209620,277
1182337120,196
1189455620,322
1189535620,313
1195376120,286
1219310120,268
1224155620,241
1269439120,133
1275640120,97
1288700620,214
1298470620,70
1317898620,286
1328495120,268
1330877620,133
1356709120,151
1376194620,142
1390470120,70
1400599620,124
1425086620,124
1426777620,223
1447557120,277
1454451120,70
1464085120,295
1476355120,115
1503198120,151
1504466120,70
1526305620,196
1549192620,43
1553671620,79
1582436120,106
1589965620,286
1591925620,214
1605131620,313
1610065120,241
1626946620,52
1638370620,268
1664310120,223
1683035120,169
1687610620,106
1688429620,313
1699796620,124
1731163620,61
1740682620,187
1759090120,160
1763873120,160
1792502120,313
1801125620,79
1810213620,133
1843280620,43
1856717620,223
1857666620,277
1859493620,205
1864660620,214
1873099120,196
1881018120,259
1881498620,214
1895384120,196
1906242120,133
1909351120,70
1931107620,241
1939236120,250
1943770120,313
1949459620,313
1965220120,232
1971086120,70
1972380620,232
2013391620,88
2060209620,232
2076384620,61
2089307620,52
2093228620,160
2097603620,250
2099596120,205
2110159620,205
2113194620,115
2147174120,259
2156255120,115
2171561620,196
2175188120,259
2203671120,142
2214275620,277
2234439120,232
2236804120,52
2239147120,214
2245599620,214
2256010620,286
2270382120,178
2287352120,295
2291487620,142
2302473120,43
2311248120,178
2337177620,259
2338752620,43
2347253120,43
2371037620,268
2371765620,322
2380336620,259
2381383620,196
2387248620,196
2388308620,187
2401177120,124
2421270620,52
2426590620,160
2432962620,88
2450388120,313
2455234120,151
2457580120,313
2482130120,304
2562448620,286
2565917620,268
2567637620,52
2603692620,142
2604512120,196
2606226120,52
2607968120,313
2668087620,43
2668127620,178
2676496120,151
2690414120,133
2692041620,223
2692104620,313
2722707620,241
2724362120,268
2729718120,277
2736086120,268
2794344120,223
2794451620,322
2795279120,124
2802294620,169
2826587620,124
2850285120,115
2880021620,178
2897451120,61
2911493620,43
2915010620,133
2928995620,106
2932170120,295
2946493620,160
2956704620,43
2968221120,79
2983797120,286
3015085120,259
3023482120,214
3026495620,79
3068499120,97
3104034620,295
3117021120,43
3121045620,196
3137618620,295
3162659120,52
3166218620,61
3169603620,169
3182801120,142
3191031620,52
3193371620,88
3195253120,79
3210502620,133
3232190120,214
3283916120,304
3287480120,151
3328917120,124
3340097620,268
3381733120,97
3389566620,286
3414574120,205
3434751620,142
3436076620,187
3449218620,304
3450997620,52
3457891620,286
3465511120,133
3488810620,205
3498356120,205
3515948620,196
3519840120,286
3555688120,241
3557201120,250
3561383120,196
3570901120,232
3609774120,232
3612591620,124
3622756120,295
3629637120,124
3689663620,124
3706425120,61
3718398120,223
3719561120,70
3732686620,322
3751651120,277
3762053620,160
3782313620,223
3792809620,241
3815595120,187
3835467120,322
3853508620,97
3863376620,106
3875286120,196
3878742120,187
3889834620,133
3903070120,286
3906250620,97
3909336120,52
3922362620,178
3934238120,259
3955224120,178
3955903620,160
3968152620,151
3974635620,115
3980535120,115
