time,gap_time
652584,115
38123449,124
49488950,106
55732244,43
57529933,43
58337608,223
64975047,63
71156787,72
92415245,79
110620525,126
116026535,178
138796028,72
139607256,133
150250547,97
155258035,106
170811560,88
192257355,133
204992030,54
224221897,169
257382583,232
276605590,277
291539022,322
292118580,259
295314617,9
307083306,72
307496576,61
320738451,54
322858463,115
332231251,124
361236346,187
378297775,13
383550118,43
435030326,154
437522773,70
443841000,187
455434464,52
486304988,322
497427940,144
500421539,61
515437118,70
528371560,223
537786608,223
568252049,108
569404606,133
569820742,43
587765371,133
588385424,295
600382102,160
602996618,79
628007003,54
635607995,171
658261291,54
666357617,43
667413456,0
672104572,160
674230088,295
678357319,124
680748974,169
697900814,52
709128297,106
733600388,97
749467119,43
757270487,160
791679449,304
797201548,268
838593933,250
858059954,322
870028087,36
870614562,268
931935709,52
961694526,36
969458360,178
997245411,205
1021459918,144
1049868484,52
1050401687,6
1106580603,61
1112566342,72
1117771072,232
1121047348,126
1128121110,45
1140983091,9
1143611394,97
1167465481,153
1184306400,106
1190677074,61
1199222732,43
1207436995,313
1213070617,295
1216441334,124
1226457980,43
1232709426,27
1236721582,124
1262074811,70
1274496741,18
1287827018,43
1324744818,20
1324949113,90
1350502618,27
1359170840,150
1382747542,117
1383670995,54
1395051038,178
1403780366,196
1417684911,79
1426845533,286
1430598797,17
1434854572,286
1451740088,79
1457521117,0
1491480113,0
1503183950,313
1515396859,187
1533663620,36
1543923858,117
1550848577,108
1564778617,162
1570611620,18
1590819420,158
1610666617,0
1615651909,61
1639002000,63
1644869562,126
1653627095,225
1665153120,9
1726821388,196
1740134039,99
1755462891,43
1766409115,9
1767940480,223
1772704568,160
1782103595,18
1788355426,205
1801681286,160
1804010044,0
1826997333,99
1834030500,79
1880436085,187
1881990292,66
1900334599,18
1907838828,142
1916110300,43
1916416444,169
1928445513,171
1930391094,259
1931971119,124
1942047566,268
1947469710,18
1968375611,36
1976307087,99
1977090340,133
1996873599,54
2016012095,223
2031089996,133
2075166116,72
2091141562,205
2096236432,286
2109034607,124
2111977028,79
2112141616,304
2115285451,72
2127152947,70
2148108120,79
2156208387,223
2162192081,27
2166989487,27
2184783798,18
2187299091,81
2224554120,18
2236899900,196
2252837220,70
2273642880,259
2291022821,196
2298886565,214
2318691247,45
2320562823,70
2330419035,36
2335823302,115
2337817947,232
2347410767,9
2352780494,99
2360781099,331
2361297466,124
2371075504,9
2373878394,115
2376910491,151
2396831442,295
2403493853,18
2428674023,9
2437311232,79
2477720116,72
2502779529,223
2503199973,52
2504019576,187
2505307989,252
2507755605,106
2515398620,63
2516698000,178
2529116112,27
2562803183,43
2614447502,232
2620207098,52
2621926401,148
2634166912,61
2639420677,43
2645311388,97
2650733956,97
2652586170,45
2667202107,97
2675513569,126
2677250264,52
2679264068,61
2704670139,9
2742569475,277
2750913118,63
2757972026,70
2781884102,88
2799815114,178
2802600370,198
2804388815,144
2822020964,313
2823635522,187
2841248549,313
2850650925,124
2852057060,142
2859764945,250
2872033478,196
2875329961,169
2900379509,331
2903204620,27
2931606550,135
2973787567,18
2985844399,106
3014817354,63
3021716496,223
3035685213,52
3039427535,97
3044365049,241
3051756040,79
3055115590,63
3081727872,18
3089672379,250
3096428786,90
3100333066,205
3100674096,295
3102238400,52
3105367114,0
3110647616,43
3126250565,223
3135263400,232
3151889569,63
3158311477,268
3160629348,43
3167254379,133
3174177091,241
3181213099,18
3184459114,72
3214627068,162
3228721500,142
3257882925,169
3298402080,106
3312725396,61
3320889616,0
3342360531,232
3364511094,79
3369029040,54
3374628558,54
3391358062,0
3414242012,178
3430749459,153
3438195284,106
