time,gap_time
6487120,124
24747120,124
30173120,79
37687120,61
44424120,97
49925120,304
50347620,106
53592620,61
56434620,61
65551120,61
67393620,115
68239620,88
80179620,223
91773620,79
93064120,160
99564120,160
100251620,106
103457120,115
104355620,259
113080120,124
123303620,97
131226620,178
140273620,232
141229620,160
143821120,133
157804620,133
161255620,133
169962120,205
172315120,61
172927620,97
174503620,70
184529620,169
184592120,70
187260120,97
187460620,106
191365620,61
197812120,115
199712620,187
209454120,295
209733620,97
213033620,61
213131120,115
220655620,88
221345120,61
231676120,97
234128620,187
255991120,106
258148620,124
259065120,106
265126120,97
266232620,97
274361620,133
276002620,88
278127620,70
278884620,133
280420120,61
295198120,97
295570120,322
297257620,133
306857620,61
308736120,169
320621120,61
329101620,97
330648620,106
332919620,169
350273620,169
354547620,268
356223620,142
357576620,133
359678120,223
363922620,142
370451120,169
380057620,142
381070620,214
381523620,106
381690120,205
391803620,79
393498620,115
393898120,142
394850120,313
397735120,205
410003120,61
411284120,142
411449620,259
417320620,322
445604620,115
448177620,223
449263620,61
451134620,61
472189620,160
475813620,133
488588120,70
494148120,97
496268120,79
496765120,70
503655620,70
504292120,133
509295620,61
519131120,196
519806620,241
520964620,115
525409620,250
536947120,88
538494120,88
544320620,169
548048620,79
555007620,133
569198620,187
571709620,160
573288620,196
594740120,88
595891120,205
598566120,88
615224620,151
619361620,205
619631120,61
631376620,79
638391620,151
641706620,124
644047620,133
644443120,88
646442120,88
649210120,97
649244120,133
657211120,160
669198620,97
678381120,70
678524120,223
705230620,61
706597620,79
708296620,178
711854120,133
711916620,88
712298620,88
713416620,232
725707120,196
733161620,313
737989620,223
738126620,223
743376120,97
751361620,259
756558120,79
758018120,169
758718620,232
759275620,160
759624120,70
764768620,115
768397120,169
783246120,106
784414620,313
787166620,196
792371120,124
795750620,133
804193120,151
806398620,133
809475620,106
814516120,115
814870620,106
826030620,70
826174120,133
839962620,79
872805620,295
876926620,322
877120620,169
878304620,169
882340620,79
894500120,133
896667120,106
911807120,214
913473120,124
914716120,61
919224620,196
928183120,133
929450620,169
931218120,106
932639120,88
933000120,106
940063620,178
964288620,97
964879620,79
968096620,61
969195620,70
971853620,232
972254620,223
972941620,124
973244120,79
976410620,187
991035120,70
992340120,151
993674120,79
996501620,196
1001115620,304
1009176620,160
1012951620,268
1017971120,196
1021218120,187
1025873120,97
1025930620,97
1031532620,79
1033193620,88
1052729620,70
1057062120,106
1061052620,187
1063595120,97
1064758120,295
1071120120,151
1078310620,70
1098523120,142
1101270620,277
1106902120,151
1110459620,61
1112561620,124
1116442120,124
1122749120,133
1122944120,88
1129562120,214
1132887120,70
1136105120,88
1138542120,70
1143756620,151
1148100620,187
1152707120,61
1153362120,124
1155442120,61
1155939620,160
1157381620,97
1157691120,79
1158592120,142
1162597620,214
1163813120,79
1167880620,268
1173409620,178
1180820120,106
1183594620,70
1195469620,223
1199852120,124
1204473120,115
1205584620,115
1214643120,106
1215455620,151
1217267620,88
1220270620,178
1220839120,133
1222983620,142
1226892120,61
1226926120,61
1227148620,169
1232659620,142
1233118620,97
1234074120,106
1236470120,97
1243226620,133
1243351620,70
1252215120,61
1254171120,124
1258893620,142
1259218620,88
1262181120,79
1264277620,88
1270645620,124
1271195620,187
1278746620,79
1284045120,313
1286251120,196
1286952620,142
1289556120,88
1291694120,88
1291916620,178
1293379620,187
1294163120,313
1300995120,232
1302757620,187
1324585620,151
1326309620,151
1328969120,97
1348951120,151
1353908120,61
1359496120,133
1360829120,79
1363486120,88
1365760620,97
1372293620,277
1373181120,97
1377404620,106
1378534120,79
1381391120,124
1390029120,115
1390642620,61
1394136620,70
1406583620,178
1409547120,223
1411667120,133
1414218620,70
1416451120,160
1417380620,214
1418746120,142
1431254120,124
1431937620,97
1433847620,124
1448851120,241
1449171120,160
1452596620,277
1453078620,142
1453525120,160
1457516620,106
1461350620,88
1461585120,178
1480551620,151
1483747620,70
1485906620,214
1489972120,70
1490883120,142
1495962620,160
1497580620,241
1499807620,115
1505602120,106
1506937120,124
1512852620,196
1514532620,97
1520457620,241
1527907120,79
1539202120,97
1541504120,106
1543604120,160
1552003620,151
1553921620,169
1555838120,286
1563198120,250
1564500620,124
1566120620,151
1572202620,61
1581185120,88
1583227620,187
1591015120,160
1592968120,106
1594405120,151
1605897120,196
1613688620,61
1636372120,187
1636613120,268
1638259120,142
1640364620,187
1645844120,115
1648316120,88
1648625620,106
1650907120,196
1655761120,196
1657513120,88
1657896120,133
1659347120,142
1660126120,250
1681152620,169
1688690120,169
1696101620,61
1696198120,160
1699561620,106
1702991120,205
1703455620,88
1708463120,97
1712700620,268
1724584620,106
1726694120,223
1728947620,79
1733428120,304
1739951620,61
1745466120,142
1748650120,124
1753114120,97
1757450620,223
1763203120,115
1768642620,106
1772880120,70
1776313120,115
1779604620,61
1782954620,178
1793472620,142
1811091620,106
1814550120,160
1817885620,232
1822031120,70
1832203620,70
1853175620,142
1855471620,133
1863321120,232
1867192120,124
1869334120,70
1879421620,223
1890599620,133
1892138120,79
1893385620,223
1898183620,61
1907658120,124
1911894620,79
1915962620,97
1948171120,196
1954938620,214
1960291120,205
1962563620,187
1974952120,196
1982858120,124
1984241120,70
1986298620,187
1988567620,97
1997530620,142
1999926120,79
2019955120,124
2023753620,88
2034879620,304
2043247120,88
2044673620,124
2046179620,115
2052095120,313
2056430620,259
2057113120,79
2057381620,124
2064805620,241
2067329120,250
2068200620,169
2073576120,70
2073714120,106
2079701120,88
2084915620,160
2087000620,124
2087415120,214
2088992620,88
2091603620,124
2094107120,178
2095382620,79
2095931620,97
2110706120,205
2115122620,286
2116480120,97
2116594620,61
2129533620,70
2132599620,61
2135258620,160
2142830120,79
2147287120,97
2157171120,142
2158435120,286
2162647620,151
2172400120,97
2178466620,196
2179643120,88
2180377120,142
2186072620,133
2189219620,88
2192913620,196
2206168620,106
2208459120,106
2208493120,169
2208996120,88
2217475620,88
2219264120,124
2226053620,241
2226657620,124
2230837620,115
2233663120,205
2236961620,115
2239363620,88
2243808620,286
2246223620,232
2249609120,61
2250467120,133
2251060620,223
2254355120,88
2255856120,88
2258668620,178
2262642120,223
2280334620,106
2293475620,97
2302291620,196
2305678120,160
2314234620,304
2315957620,88
2319698120,124
2325087120,259
2326335620,232
2332113120,232
2334505620,151
2348240620,61
2349358120,88
2357995120,286
2363604620,133
2364158620,268
2370066120,79
2370438120,106
2379578620,106
2381757620,178
2385984120,151
2410566120,79
2412190120,133
2414090120,142
2418581120,241
2426819620,295
2429311620,61
2432963120,169
2433586620,277
2437138620,79
2439419120,124
2443546620,115
2444165120,97
2451504620,97
2459517620,169
2459996620,61
2460161620,124
2461096620,79
2463044120,97
2464472120,70
2466275120,142
2472688120,178
2482858120,160
2501748620,70
2506054620,133
2506111620,61
2508967120,88
2517251620,160
2536823120,79
2545915120,70
2559213120,133
2584128120,214
2584402120,142
2588089120,205
2596053120,151
2599424120,160
2602736620,106
2603162620,61
2605623120,61
2612606620,115
2613735120,133
2615528120,61
2617574120,160
2618314620,61
2619060620,115
2623303120,79
2625320620,106
2632137620,169
2635652120,142
2641938620,106
2642586120,133
2648688120,124
2650027620,88
2660646620,232
2661832620,70
2666302120,250
2676449620,322
2681525120,70
2692054620,61
2697996620,88
2699984620,241
2702648120,250
2703685120,97
2704303620,151
2707960120,223
2719830120,124
2721645620,115
2723790120,169
2744725120,70
2745658620,61
2751408120,151
2758692620,133
2761975120,205
2766718620,142
2772974620,97
2779104120,61
2784598120,106
2786641120,106
2792499620,187
2794145120,70
2794230620,196
2796302120,160
2801500620,214
2801941120,70
2803245620,160
2805744620,214
2810846120,133
2817160120,124
2818942620,205
2821957120,205
2831510620,70
2839137620,61
2841330620,214
2841995620,133
2845393620,214
2854103120,124
2861055620,133
2861847120,214
2866512620,124
2868344120,61
2874371620,88
2875716120,331
2882532120,133
2882875120,205
2886938620,286
2898465620,124
2902957120,97
2910722120,70
2912416120,70
2914703620,61
2930906120,106
2934009620,124
2938474620,97
2946649620,313
2946849120,124
2959526620,205
