time,gap_time
2731620,133
6459620,124
9798620,97
10680120,196
13699620,142
14227120,241
23686620,88
24768120,178
26608120,115
30825120,169
32838120,295
39949120,124
46165120,70
49588620,124
52931620,259
62602620,79
66332120,115
70864620,79
75799620,124
82507120,115
84845620,61
90812620,79
97049620,241
103521120,268
119340120,214
119574620,106
125260120,79
137546620,232
139398120,151
145153120,160
145942620,70
148174120,88
153227120,304
154283620,106
157332120,124
160072620,115
162561620,259
166742620,97
170407120,97
172014120,124
173189620,223
174996620,169
178231620,115
181049620,178
183705620,97
183906120,106
185558120,61
187460620,160
195591620,259
200993120,97
201976620,79
207643620,133
207803620,286
208736120,106
217188120,151
223149620,97
223636620,79
224209120,106
225968120,133
228456120,178
231508620,214
239403620,106
245001620,151
246978620,88
252607120,160
254221120,178
262464620,88
265123620,106
267532620,88
270371620,160
272936120,106
276555620,151
276623620,142
276766120,61
293419620,196
295412120,115
300044620,88
301367120,97
305120120,232
323028120,70
323131120,133
325326620,205
325549120,88
326012620,88
341920620,178
345584620,97
351159620,259
351647120,196
354345620,214
356936120,160
357484120,70
363570120,88
371970620,124
373796620,61
377184620,97
387379620,187
394559620,70
395571620,106
399985120,97
403426620,151
412084620,133
413535620,133
416786620,79
422827120,79
424478120,151
439030620,97
449080120,295
450322620,115
450631620,88
455392120,151
457443620,79
458796620,277
460242120,133
464686120,214
473542120,286
479075620,70
487174120,187
489649620,133
490549120,160
491436620,79
491682120,151
502135620,115
511260120,115
514974120,61
517682120,79
518348120,61
530588620,205
536475620,97
538021620,79
538692620,61
543914120,151
544737620,124
544931620,79
547408120,151
550592620,277
552940620,106
553341620,79
553393120,277
560438620,133
561338620,178
561578120,214
562409620,187
562495120,70
563072120,106
575420120,97
577287620,232
578696120,223
579249120,106
580991120,214
587780620,124
588201620,88
596498120,304
598386620,178
608743620,133
613849120,124
614598120,151
614632120,70
618086620,79
618831120,70
626961620,241
630326620,61
630360620,70
633515120,124
633836120,304
635824620,178
635916120,70
649121120,196
655920120,250
664963120,241
669314620,160
675781620,79
681398620,70
681450120,124
689764620,61
709634620,196
719300120,277
731495620,106
739352620,241
743899120,70
748278620,151
749744620,196
766902620,160
777944120,70
781008120,133
783532620,268
784502620,97
790153620,232
791331620,178
792888120,151
796115620,79
797144620,61
801775620,133
804323120,97
804744620,88
804858620,70
806535620,97
809853620,277
832237120,61
832679120,115
836666120,70
848593120,61
850259620,88
852471620,106
858478120,214
860545620,142
860939120,169
861516120,286
862082120,169
862579620,142
864254120,169
870097120,106
881966620,70
893516620,178
896448620,61
902145620,196
902801620,70
906056620,88
908416620,268
909068120,106
915799620,79
916769620,250
920126620,70
924647120,70
925582120,187
929798620,259
930601120,61
939139120,88
946329120,97
951152620,277
955725120,79
972919120,61
978033620,196
983106120,151
984039120,187
985997620,160
986226620,106
989746120,160
994258120,268
995884620,142
1000585620,241
1002168620,187
1005561120,205
1006192620,88
1008474620,169
1013917120,79
1019683120,142
1027382120,106
1033316620,160
1039269120,250
1041526120,187
1058459120,70
1073386120,106
1073811120,259
1075727620,70
1077106620,106
1078266620,97
1091374120,187
1095986620,70
1098472620,223
1111930120,70
1114999120,223
1124157620,115
1125735120,214
1137128620,97
1139057120,97
1139542620,124
1144457620,79
1150403620,124
1153347620,160
1159886620,115
1164242620,169
1167022620,61
1171882620,241
1173069620,133
1173514120,232
1180788120,115
1182437620,115
1189959620,295
1194128120,277
1202252620,124
1202568120,160
1204452120,61
1204486120,61
1204708620,169
1209455120,151
1211456120,106
1219125620,133
1223697620,259
1229303620,97
1231232120,124
1232045620,61
1251047620,169
1252175620,313
1266686620,106
1267178620,106
1270409620,106
1274273620,124
1279132120,79
1291626620,313
1317976120,133
1321909620,88
1325274620,304
1328988620,61
1338701120,196
1340750620,169
1355242120,142
1361806120,160
1363983620,124
1366798620,169
1367302620,88
1367336620,160
1377527620,88
1380043120,187
1381191620,88
1381729620,178
1387597120,178
1388821120,259
1389459620,232
1391395620,79
1391973120,214
1392869120,178
1393584120,151
1394229620,88
1401419120,106
1407390120,106
1407957120,124
1411885620,151
1414819120,88
1416359620,106
1417470120,79
1425661120,79
1426245120,178
1434284120,151
1435443120,97
1438808620,259
1441388620,160
1458292120,250
1460546620,79
1463343120,70
1465078620,160
1469062620,115
1470223620,70
1470800120,115
1476716620,133
1479199120,187
1481534120,70
1492180620,142
1499918620,151
1503637120,250
1509363620,178
1510107120,61
1513979620,106
1517854120,259
1520888120,124
1522852620,286
1524336620,151
1529420620,70
1532263120,178
1535632620,79
1540198620,205
1548367120,115
1557822120,142
1560208620,106
1563374620,241
1566031120,151
1566513120,196
1572160620,322
1591579620,205
1592966620,106
1598001620,97
1604642120,97
1615864620,79
1630623120,88
1638764620,187
1647892620,115
1648150120,97
1648298120,214
1649224120,97
1650368620,160
1653218620,187
1654490620,160
1656835620,88
1661646120,88
1662001120,88
1665314620,115
