time,backoff_time
2731620,241
6459620,304
9798620,295
10680120,178
13699620,169
14227120,268
23686620,88
24768120,232
26608120,115
30825120,223
32838120,214
39949120,124
46165120,79
49588620,43
52931620,205
62602620,304
66332120,169
70864620,250
75799620,88
82507120,61
84845620,187
90812620,70
97049620,295
103521120,88
119340120,286
119574620,205
125260120,88
137546620,178
139398120,241
145153120,160
145942620,223
148174120,214
153227120,259
154283620,187
157332120,187
160072620,196
162561620,178
166742620,277
170407120,214
172014120,322
173189620,313
174996620,250
178231620,169
181049620,259
183705620,61
183906120,178
185558120,124
187460620,313
195591620,151
200993120,223
201976620,70
207643620,160
207803620,196
208736120,277
217188120,61
223149620,70
223636620,322
224209120,142
225968120,178
228456120,322
231508620,250
239403620,79
245001620,133
246978620,295
252607120,115
254221120,268
262464620,286
265123620,97
267532620,277
270371620,160
272936120,286
276555620,295
276623620,241
276766120,250
293419620,97
295412120,250
300044620,304
301367120,268
305120120,115
323028120,124
323131120,223
325326620,277
325549120,304
326012620,304
341920620,52
345584620,52
351159620,214
351647120,178
354345620,277
356936120,250
357484120,304
363570120,286
371970620,124
373796620,196
377184620,88
387379620,70
394559620,106
395571620,88
399985120,214
403426620,259
412084620,268
413535620,61
416786620,268
422827120,43
424478120,268
439030620,241
449080120,133
450322620,43
450631620,196
455392120,232
457443620,160
458796620,133
460242120,178
464686120,214
473542120,151
479075620,277
487174120,196
489649620,169
490549120,52
491436620,205
491682120,160
502135620,70
511260120,322
514974120,88
517682120,214
518348120,142
530588620,70
536475620,97
538021620,268
538692620,241
543914120,133
544737620,160
544931620,61
547408120,115
550592620,43
552940620,106
553341620,214
553393120,61
560438620,295
561338620,133
561578120,43
562409620,259
562495120,61
563072120,232
575420120,241
577287620,52
578696120,295
579249120,70
580991120,304
587780620,142
588201620,196
596498120,187
598386620,286
608743620,250
613849120,88
614598120,142
614632120,223
618086620,70
618831120,124
626961620,70
630326620,133
630360620,151
633515120,232
633836120,142
635824620,115
635916120,187
649121120,205
655920120,61
664963120,286
669314620,151
675781620,322
681398620,277
681450120,106
689764620,196
709634620,79
719300120,223
731495620,322
739352620,169
743899120,259
748278620,70
749744620,97
766902620,214
777944120,169
781008120,70
783532620,277
784502620,241
790153620,322
791331620,43
792888120,313
796115620,322
797144620,43
801775620,70
804323120,70
804744620,151
804858620,151
806535620,97
809853620,295
832237120,250
832679120,322
836666120,106
848593120,223
850259620,160
852471620,124
858478120,169
860545620,151
860939120,70
861516120,43
862082120,232
862579620,142
864254120,232
870097120,43
881966620,205
893516620,187
896448620,322
902145620,43
902801620,187
906056620,313
908416620,115
909068120,169
915799620,196
916769620,268
920126620,43
924647120,304
925582120,241
929798620,70
930601120,133
939139120,223
946329120,151
951152620,70
955725120,322
972919120,259
978033620,88
983106120,52
984039120,250
985997620,97
986226620,322
989746120,88
994258120,241
995884620,295
1000585620,169
1002168620,196
1005561120,43
1006192620,160
1008474620,151
1013917120,277
1019683120,250
1027382120,142
1033316620,79
1039269120,304
1041526120,70
1058459120,88
1073386120,259
1073811120,106
1075727620,223
1077106620,70
1078266620,79
1091374120,232
1095986620,295
1098472620,277
1111930120,79
1114999120,196
1124157620,313
1125735120,79
1137128620,151
1139057120,178
1139542620,106
1144457620,286
1150403620,88
1153347620,142
1159886620,70
1164242620,97
1167022620,232
1171882620,313
1173069620,151
1173514120,43
1180788120,88
1182437620,295
1189959620,97
1194128120,277
1202252620,322
1202568120,115
1204452120,79
1204486120,97
1204708620,178
1209455120,241
1211456120,268
1219125620,259
1223697620,52
1229303620,214
1231232120,70
1232045620,205
1251047620,223
1252175620,232
1266686620,169
1267178620,223
1270409620,295
1274273620,97
1279132120,178
1291626620,214
1317976120,88
1321909620,124
1325274620,88
1328988620,151
1338701120,61
1340750620,178
1355242120,295
1361806120,115
1363983620,205
1366798620,268
1367302620,61
1367336620,70
1377527620,106
1380043120,196
1381191620,160
1381729620,295
1387597120,187
1388821120,106
1389459620,241
1391395620,169
1391973120,250
1392869120,160
1393584120,295
1394229620,277
1401419120,232
1407390120,115
1407957120,124
1411885620,142
1414819120,322
1416359620,43
1417470120,43
1425661120,142
1426245120,178
1434284120,241
1435443120,151
1438808620,286
1441388620,313
1458292120,250
1460546620,295
1463343120,43
1465078620,97
1469062620,160
1470223620,178
1470800120,214
1476716620,88
1479199120,61
1481534120,79
1492180620,313
1499918620,169
1503637120,304
1509363620,115
1510107120,241
1513979620,196
1517854120,115
1520888120,124
1522852620,142
1524336620,52
1529420620,322
1532263120,322
1535632620,124
1540198620,178
1548367120,115
1557822120,52
1560208620,304
1563374620,88
1566031120,70
1566513120,70
1572160620,277
1591579620,250
1592966620,142
1598001620,169
1604642120,124
1615864620,277
1630623120,52
1638764620,52
1647892620,97
1648150120,70
1648298120,142
1649224120,232
1650368620,88
1653218620,115
1654490620,232
1656835620,223
1661646120,133
1662001120,106
1665314620,115
1672589620,88
1673254120,232
1677178620,304
1680416620,115
1682088120,241
1682321620,169
1683531620,88
1696189120,250
1698970120,115
1705492120,61
1708228120,223
1714475120,124
1719604620,187
1729488120,241
1740384620,232
1744906620,214
1745044120,97
1750366120,286
1751247120,259
1755452620,223
1758124620,178
1766969620,322
1771938120,241
1774298620,178
1781233120,268
1782400120,277
1782750120,259
1789188620,52
1793576620,115
1796301620,250
1803367620,250
1808116620,322
1811934120,268
1812569120,232
1813422120,268
1816110120,151
1822348620,106
1822950620,313
1823043120,61
1826596620,277
1830097120,214
1834094620,133
1835991120,205
1849744620,214
1852426120,106
1855949120,250
1858046120,133
1868399620,259
1882139120,304
1890411120,196
1890611620,97
1891706620,241
1896880120,268
1900930120,187
1906997620,88
1909429620,52
1912540620,142
1913254620,160
1917134620,196
1923178620,169
1927469620,223
1934646120,70
1940701120,142
1943885120,133
1944939620,106
1949561620,223
1962448120,70
1964646620,115
1966304620,304
1968323620,223
1986105620,88
1998582620,277
2000381620,313
2004327120,277
2008213620,205
2012310620,160
2014277620,187
2020715620,124
2022618120,196
2026992620,286
2027324120,88
2041733620,295
2046105620,169
2052248620,259
2056749120,250
2060288620,52
2061646120,61
2061720620,115
2065619120,286
2065676120,97
2067063120,79
2071933120,169
2076614620,241
2080100120,151
2092311620,151
2094484120,295
2101429620,295
2105478120,115
2106317120,169
2111413620,88
2113489620,187
2118201620,79
2127021120,88
2128339620,259
2129216620,52
2133565120,61
2139235620,277
2141468120,124
2142357620,79
2147875120,277
2149804620,178
2151843120,178
2152312620,214
2156323620,214
2157965620,133
2164922620,43
2169677120,322
2175521120,259
2177718620,295
2182260620,223
2182776620,268
2184510120,106
2186226620,115
2193726620,187
2195790120,106
2196912120,304
2198651620,196
2199903120,79
2206445120,205
2206943120,70
2212251620,187
2212441120,142
2218314120,304
2218371120,142
2219851120,169
2225879620,313
2229997620,232
2234084120,70
2241397120,277
2247165620,277
2256947120,187
2267108120,97
2269873120,88
2273968120,61
2274908120,61
2283058620,106
2285370620,160
2288449620,259
2292074120,196
2292319620,151
2300359120,124
2300519120,187
2301245120,79
2304837120,124
2310237120,124
2311443620,79
2312899120,61
2313868120,295
2315512120,214
2317343120,268
2321125620,268
2323326120,142
2324623120,133
2326357120,61
2336026120,259
2336831120,133
2337244620,286
2339729620,133
2341193120,187
2341302120,241
2342830620,115
2345000120,106
2350449620,160
2354777620,106
2368908120,133
2372324620,106
2374002120,250
2379268620,169
2381479120,295
2383622620,232
2387188620,313
2387497120,43
2389735620,124
2395914120,196
2397122620,286
2400538120,169
2400778620,70
2403322620,322
2415880620,223
2417035120,214
2422932620,205
2432816120,205
2433483620,52
2446256620,142
2447546620,115
2448182620,322
2450685620,43
2457514120,70
2458067620,52
2458452120,124
2463609120,277
2466746620,223
2472193620,187
2476093120,295
2480643620,187
2482845620,70
2488142120,322
2491103620,313
2499152620,268
2505131120,70
2505200120,97
2506935620,214
2509466620,79
2511742120,241
2512202620,241
2516800620,214
2518054120,160
2518334120,97
2519038620,88
2521307120,178
2521759620,214
2527917620,259
2539092620,79
2539452620,169
2540540620,97
2541839620,142
2543021120,232
2545820620,52
2548248620,268
2548945120,250
2550089120,268
2553125620,304
2553830120,241
2556191120,97
2558657120,142
2559815120,43
2564921120,169
2565506620,52
2576303120,169
2576514620,277
2578146120,124
2581193620,106
2583799120,295
2584378120,304
2585063120,133
2586539120,295
2589462620,106
2590729120,79
2591941120,169
2594957120,178
2597090620,322
2597245120,88
2598103120,313
2602199620,232
2605608620,43
2605973620,277
2611925620,295
2614735620,259
2615873120,187
2620604120,277
2623500620,52
2624517620,88
2628806620,142
2630627620,322
2632864620,88
2634941120,187
2634975120,43
2639579120,79
2646795120,178
2652853120,79
2654367120,70
2656602120,295
2661535620,79
2662960120,250
2666429620,106
2668978120,79
2670776620,223
2672007120,97
2672686120,250
2674699120,97
2684478620,97
2698602620,187
2700011620,142
2701683620,241
2704881620,286
2708552620,250
2712964620,61
2714599120,142
2722660620,205
2731912120,322
2737489620,259
2745059120,70
